Fecha cotizacion;Compra;Venta;
2/1/2017;15,7000;16,1000;
3/1/2017;15,7000;16,1000;
4/1/2017;15,9000;16,3000;
5/1/2017;15,8000;16,2000;
6/1/2017;15,6000;16,0000;
9/1/2017;15,6500;16,0500;
10/1/2017;15,6500;16,0500;
11/1/2017;15,6500;16,0500;
12/1/2017;15,6500;16,0500;
13/1/2017;15,6500;16,0500;
16/1/2017;15,6500;16,0500;
17/1/2017;15,7000;16,1000;
18/1/2017;15,8000;16,2000;
19/1/2017;15,7000;16,1000;
20/1/2017;15,7000;16,1000;
23/1/2017;15,7500;16,1500;
24/1/2017;15,7500;16,1500;
25/1/2017;15,7500;16,1500;
26/1/2017;15,7500;16,1500;
27/1/2017;15,7000;16,1000;
30/1/2017;15,7000;16,1000;
31/1/2017;15,7000;16,1000;
1/2/2017;15,6000;16,0000;
2/2/2017;15,5000;15,9000;
3/2/2017;15,4000;15,8000;
6/2/2017;15,6000;16,0000;
7/2/2017;15,4500;15,8500;
8/2/2017;15,4500;15,8500;
9/2/2017;15,4000;15,8000;
10/2/2017;15,3000;15,7000;
13/2/2017;15,3000;15,7000;
14/2/2017;15,3000;15,7000;
15/2/2017;15,2000;15,6000;
16/2/2017;15,2000;15,6000;
17/2/2017;15,5000;15,9000;
20/2/2017;15,5000;15,9000;
21/2/2017;15,4000;15,8000;
22/2/2017;15,3000;15,7000;
23/2/2017;15,4000;15,8000;
24/2/2017;15,3000;15,7000;
1/3/2017;15,2000;15,6000;
2/3/2017;15,2000;15,6000;
3/3/2017;15,2000;15,6000;
6/3/2017;15,2500;15,6500;
7/3/2017;15,3500;15,7500;
8/3/2017;15,4000;15,8000;
9/3/2017;15,3500;15,7500;
10/3/2017;15,3000;15,7000;
13/3/2017;15,3000;15,7000;
14/3/2017;15,3000;15,7000;
15/3/2017;15,3500;15,7500;
16/3/2017;15,3500;15,7500;
17/3/2017;15,3500;15,7500;
20/3/2017;15,4000;15,8000;
21/3/2017;15,4000;15,8000;
22/3/2017;15,4000;15,8000;
23/3/2017;15,4000;15,8000;
27/3/2017;15,4000;15,8000;
28/3/2017;15,4000;15,8000;
29/3/2017;15,2500;15,6500;
30/3/2017;15,2000;15,6000;
31/3/2017;15,2000;15,6000;
3/4/2017;15,2000;15,6000;
4/4/2017;15,1500;15,5500;
5/4/2017;15,1500;15,5500;
6/4/2017;15,1500;15,5500;
7/4/2017;15,1500;15,5500;
10/4/2017;15,0000;15,4000;
11/4/2017;15,0500;15,4500;
12/4/2017;15,0000;15,4000;
17/4/2017;15,0000;15,4000;
18/4/2017;15,1000;15,5000;
19/4/2017;15,2000;15,6000;
20/4/2017;15,2000;15,6000;
21/4/2017;15,3000;15,7000;
24/4/2017;15,2000;15,6000;
25/4/2017;15,2000;15,6000;
26/4/2017;15,3000;15,7000;
27/4/2017;15,2000;15,6000;
